area_cineunesco,carrera_estandar,cohorte_2005_a,cohorte_2006_a,cuarto_ano,duracion_esperada_del_plan_de_estudios_semestres,duracion_real_de_la_carrera_semestres,emplea_1_2015,emplea_1_2016,emplea_1_2017,emplea_1_2018,emplea_1_2019,emplea_2_2015,emplea_2_2016,emplea_2_2017,emplea_2_2018,emplea_2_2019,es_tecnico,estudiantes_adm_delegada_matricula,estudiantes_establecimientos_municipales_matricula_2011,estudiantes_particular_pagado_matricula_2011,estudiantes_particular_subvencionado_matricula_2011,id_api,id_area_cineunesco,id_estadisticas,id_tipo_institucion,ingreso_ano_1,ingreso_ano_10,ingreso_ano_2,ingreso_ano_3,ingreso_ano_4,ingreso_ano_5,ingreso_ano_6,ingreso_ano_7,ingreso_ano_8,ingreso_ano_9,ingresos_4_2015,ingresos_4_2016,ingresos_4_2017,ingresos_4_2018,ingresos_4_2019,matricula_de_1er_ano_2011,matricula_femenina_1er_ano_2011,matricula_femenina_2011,matricula_masculina_1er_ano_2011,matricula_masculina_2011,matricula_total_2011,mayor_a_1000000_a_1500000,mayor_a_1500000_a_2000000,mayor_a_2000000_a_2500000,mayor_a_2500000_a_3000000,mayor_a_3000000,mayor_a_500000_a_1000000,menor_a_500000,n_de_titulados_2010,n_de_titulados_femenino_2010,n_de_titulados_masculino_2010,percentil10_a,percentil10_b,percentil25_a,percentil25_b,percentil50_a,percentil50_b,percentil75_a,percentil75_b,percentil90_a,percentil90_b,primer_ano,quinto_ano,segundo_ano,tasa_de_retencion_1er_ano_cohorte_2009,tasa_de_retencion_2do_ano_cohorte_2009,tercer_ano,tipo_institucion
Salud,Nutrición y Dietética,0.372,0.503,982660,10.00,13.10,0.200,0.538,0.323,0.364,0.396,0.515,0.525,0.720,0.467,0.469,1,35.00000,195.00000,6.00000,332.00000,84,9,84,2,,,,,,,,,,,,,,,,115,89,481,26,129,610,0,0,0,0,0,0,0,58,47,11,567657,653065,631371,707655,683785,952923,881346,1199374,1139870,1732595,805379,1060244,944014,0.616,0.500,985143,Instituto Profesional
Educación,Psicopedagogía,0.594,0.653,978899,8.10,9.50,0.475,0.410,0.589,0.584,0.608,0.618,0.565,0.621,0.650,0.682,1,451.00000,3998.00000,137.00000,4331.00000,85,7,85,2,,,,,,,,,,,1034204.000,979905.000,944128.000,987451.000,1011730.000,2507,2266,9740,241,762,10502,0,0,0,0,0,0,0,1445,1372,73,575809,620621,647474,787113,782026,1008580,951006,1194751,1165158,1487565,837138,1012000,900232,0.715,0.580,944482,Instituto Profesional
Ciencias Sociales,Publicidad,0.568,0.674,1108484,8.00,9.50,0.374,0.511,0.653,0.542,0.492,0.646,0.640,0.717,0.690,0.636,1,39.00000,395.00000,156.00000,1092.00000,86,5,86,2,,,,,,,,,,,1113093.000,1144026.000,1159298.000,1077421.000,1049788.000,527,355,1137,172,658,1795,0,0,0,0,0,0,0,335,199,136,555322,600964,610954,760081,674660,966248,804348,1255747,1001389,1757944,784603,1196171,867521,0.781,0.672,991566,Instituto Profesional
Ciencias Sociales,Relaciones Públicas,0.495,0.647,1187901,8.00,9.60,0.341,0.581,0.578,0.462,0.427,0.572,0.627,0.680,0.627,0.644,1,14.00000,172.00000,98.00000,384.00000,87,5,87,2,,,,,,,,,,,1264866.000,1253137.000,1261922.000,1030884.000,1200507.000,146,116,565,30,160,725,0,0,0,0,0,0,0,131,107,24,555853,681542,643861,785111,792756,1075473,977485,1326329,1509367,1783324,861085,1304326,1001855,0.784,0.684,1051029,Instituto Profesional
Agropecuaria,Técnico Agropecuario,0.550,0.651,1014235,5.00,6.70,0.531,0.608,0.646,0.469,0.523,0.560,0.684,0.675,0.711,0.558,1,47.00000,205.00000,15.00000,333.00000,88,2,88,2,,,,,,,,,,,924053.000,934069.000,971259.000,1009236.000,1068044.000,227,87,243,140,421,664,0,0,0,0,0,0,0,250,96,154,579602,626631,664078,732144,800818,939090,1050199,1223118,1367613,1443771,871738,996364,904758,0.740,,970998,Instituto Profesional
Educación,Técnico Asistente del Educador de Párvulos,0.473,0.535,727928,4.70,5.60,0.479,0.399,0.479,0.490,0.442,0.617,0.559,0.528,0.534,0.546,1,378.00000,3903.00000,142.00000,3999.00000,89,7,89,2,,,,,,,,,,,720972.000,735195.000,720731.000,714696.000,752524.000,3964,3933,9908,31,46,9954,0,0,0,0,0,0,0,2553,2547,6,535448,551809,576441,620329,658906,736994,791927,824101,906633,920757,678227,747570,690971,0.704,,705792,Instituto Profesional
Educación,Técnico Asistente del Educador Diferencial,0.448,0.511,696777,4.70,5.70,0.393,0.334,0.461,0.448,0.430,0.483,0.487,0.474,0.528,0.522,1,167.00000,1775.00000,50.00000,1616.00000,90,7,90,2,,,,,,,,,,,682243.000,706366.000,647904.000,709364.000,725000.000,1725,1656,4312,69,161,4473,0,0,0,0,0,0,0,1093,1060,33,530621,547428,560891,589712,632725,658498,752479,803246,939953,1022523,667473,734139,673712,0.675,,687291,Instituto Profesional
Salud,Técnico Dental y Asistente de Odontología,0.578,0.621,757885,5.00,5.70,0.330,0.612,0.642,0.544,0.530,0.431,0.611,0.694,0.609,0.562,1,149.00000,1118.00000,30.00000,1796.00000,91,9,91,2,,,,,,,,,,,696513.000,748552.000,751741.000,745425.000,779677.000,1080,913,2805,167,500,3305,0,0,0,0,0,0,0,1061,929,132,543334,576800,583694,650499,657972,764421,727896,895051,855456,1069595,670625,779340,702076,0.779,,724000,Instituto Profesional
Administración y Comercio,Técnico en Administración de Empresas,0.763,0.768,1311528,4.80,6.00,0.685,0.741,0.748,0.759,0.784,0.716,0.744,0.779,0.758,0.765,1,398.00000,3802.00000,424.00000,4685.00000,92,1,92,2,,,,,,,,,,,1254834.000,1241713.000,1277029.000,1310217.000,1353296.000,4931,3152,7957,1779,4388,12346,0,0,0,0,0,0,0,3956,2643,1313,625417,649597,779267,826142,1054045,1122752,1490125,1593953,2113492,2290099,1253495,1317537,1261681,0.671,,1274265,Instituto Profesional
Administración y Comercio,Técnico en Administración de Recursos Humanos y Personal,0.717,0.765,1160183,4.90,6.50,0.637,0.678,0.727,0.716,0.705,0.678,0.715,0.763,0.762,0.770,1,69.00000,592.00000,31.00000,680.00000,93,1,93,2,,,,,,,,,,,1163305.000,1130240.000,1183068.000,1125003.000,1166754.000,697,577,1623,120,381,2004,0,0,0,0,0,0,0,663,529,134,624218,638983,736336,818994,957561,1048343,1360333,1410055,1924340,1874312,1072251,1215487,1064236,0.680,,1102589,Instituto Profesional
