area_cineunesco,carrera_estandar,cohorte_2005_a,cohorte_2006_a,cuarto_ano,duracion_esperada_del_plan_de_estudios_semestres,duracion_real_de_la_carrera_semestres,emplea_1_2015,emplea_1_2016,emplea_1_2017,emplea_1_2018,emplea_1_2019,emplea_2_2015,emplea_2_2016,emplea_2_2017,emplea_2_2018,emplea_2_2019,es_tecnico,estudiantes_adm_delegada_matricula,estudiantes_establecimientos_municipales_matricula_2011,estudiantes_particular_pagado_matricula_2011,estudiantes_particular_subvencionado_matricula_2011,id_api,id_area_cineunesco,id_estadisticas,id_tipo_institucion,ingreso_ano_1,ingreso_ano_10,ingreso_ano_2,ingreso_ano_3,ingreso_ano_4,ingreso_ano_5,ingreso_ano_6,ingreso_ano_7,ingreso_ano_8,ingreso_ano_9,ingresos_4_2015,ingresos_4_2016,ingresos_4_2017,ingresos_4_2018,ingresos_4_2019,matricula_de_1er_ano_2011,matricula_femenina_1er_ano_2011,matricula_femenina_2011,matricula_masculina_1er_ano_2011,matricula_masculina_2011,matricula_total_2011,mayor_a_1000000_a_1500000,mayor_a_1500000_a_2000000,mayor_a_2000000_a_2500000,mayor_a_2500000_a_3000000,mayor_a_3000000,mayor_a_500000_a_1000000,menor_a_500000,n_de_titulados_2010,n_de_titulados_femenino_2010,n_de_titulados_masculino_2010,percentil10_a,percentil10_b,percentil25_a,percentil25_b,percentil50_a,percentil50_b,percentil75_a,percentil75_b,percentil90_a,percentil90_b,primer_ano,quinto_ano,segundo_ano,tasa_de_retencion_1er_ano_cohorte_2009,tasa_de_retencion_2do_ano_cohorte_2009,tercer_ano,tipo_institucion
Tecnología,Ingeniería Civil Ambiental,0.842,0.901,2119848,11.40,15.00,,,,,,,,,,,0,11.00000,234.00000,212.00000,709.00000,159,10,159,3,,,,,,,,,,,,,,,,259,144,662,115,520,1182,0,0,0,0,0,0,0,140,78,62,768424,1232925,994258,1827088,1349105,2187968,1629894,2694262,1896719,3341859,1348586,2290470,1625528,0.744,0.559,1816672,Universidad
Tecnología,Ingeniería Civil Bioquímica,0.827,0.828,1568815,12.00,14.50,,,,,,,,,,,0,1.00000,46.00000,76.00000,197.00000,160,10,160,3,,,,,,,,,,,,,,,,70,47,189,23,134,323,0,0,0,0,0,0,0,39,22,17,597439,748156,765099,1124404,924938,1383271,1169287,1968086,1434029,2125524,1042160,1917913,1246115,0.837,0.651,1378307,Universidad
Tecnología,Ingeniería Civil Eléctrica,0.920,0.953,2912849,11.60,15.40,0.919,0.922,0.932,0.938,0.894,0.908,0.939,0.950,0.961,0.948,0,180.00000,1268.00000,803.00000,2614.00000,161,10,161,3,,,,,,,,,,,2739943.000,2895336.000,3039641.000,2934476.000,2764338.000,984,124,522,860,4386,4908,0,0,0,0,0,0,0,579,72,507,841265,1396015,1255669,2019442,1643102,2870420,2159487,4038083,2973979,6017550,1907850,3261044,2289296,0.784,0.629,2661878,Universidad
Tecnología,Ingeniería Civil Electrónica,0.835,0.930,2647456,11.80,15.70,0.687,0.852,0.916,0.826,0.789,0.870,0.841,0.915,0.926,0.945,0,55.00000,552.00000,415.00000,1400.00000,162,10,162,3,,,,,,,,,,,2412463.000,2490142.000,2825905.000,2069846.000,2954199.000,518,64,260,454,2189,2449,0,0,0,0,0,0,0,263,20,243,673936,1024660,917366,1713490,1259265,2247305,1763207,2746737,2144620,4634446,1680291,2790310,2161931,0.780,0.657,2413130,Universidad
Tecnología,Ingeniería Civil en Biomédica,0.944,0.907,1883451,12.00,13.90,0.778,0.938,0.959,0.966,0.913,0.920,0.973,0.938,0.920,0.879,0,15.00000,209.00000,210.00000,629.00000,163,10,163,3,,,,,,,,,,,2056751.000,2100639.000,2019250.000,1670110.000,1882141.000,380,214,534,166,536,1070,0,0,0,0,0,0,0,97,55,42,851569,906736,1075968,1373091,1329017,1747392,1599075,2135978,1816198,2499422,1367867,1997817,1627915,0.707,0.595,1767432,Universidad
Tecnología,Ingeniería Civil en Computación e Informática,0.885,0.939,2683432,11.10,14.10,0.883,0.916,0.929,0.894,0.852,0.944,0.939,0.947,0.941,0.931,0,366.00000,4331.00000,2824.00000,10109.00000,164,10,164,3,,,,,,,,,,,2305683.000,2492485.000,2778376.000,2685634.000,2592683.000,4223,664,2381,3559,15494,17875,0,0,0,0,0,0,0,1537,163,1374,787296,1294660,1075564,1911457,1464702,2601025,1951308,3625113,2622317,4680338,1737657,2880941,2121328,0.842,0.737,2453084,Universidad
Tecnología,Ingeniería Civil en Minas,0.820,0.896,3432022,11.10,15.70,0.685,0.760,0.827,0.818,0.814,0.854,0.887,0.911,0.886,0.893,0,121.00000,1642.00000,788.00000,3575.00000,165,10,165,3,,,,,,,,,,,4025123.000,4059830.000,3946385.000,3220613.000,3178733.000,1682,571,1906,1111,4463,6369,0,0,0,0,0,0,0,680,165,515,714172,1305668,1008888,1928657,1616794,2816808,2755216,4579345,4671039,7605401,2274423,4230975,2599119,0.769,0.647,2803526,Universidad
Tecnología,Ingeniería Civil en Obras Civiles,0.847,0.910,2110462,11.20,15.10,0.718,0.863,0.893,0.860,0.807,0.912,0.898,0.938,0.914,0.886,0,97.00000,765.00000,386.00000,1660.00000,166,10,166,3,,,,,,,,,,,2099111.000,2302278.000,2273651.000,1958171.000,2089395.000,709,195,734,514,2230,2964,0,0,0,0,0,0,0,559,152,407,696849,988230,984267,1571164,1315191,2066422,1818083,2690651,2661973,3240642,1554959,2323638,1735753,0.766,0.669,1831858,Universidad
Tecnología,Ingeniería Civil Industrial,0.893,0.934,2840993,11.10,14.10,0.811,0.877,0.908,0.888,0.887,0.901,0.925,0.939,0.934,0.929,0,830.00000,7276.00000,6232.00000,18285.00000,167,10,167,3,,,,,,,,,,,2841198.000,2958522.000,3027264.000,2698052.000,2774395.000,5634,2023,10564,3611,24340,34904,0,0,0,0,0,0,0,6491,1897,4594,794035,1205626,1147276,1737475,1660911,2466538,2557239,3428887,4201144,4921345,2100771,3126885,2267041,0.851,0.763,2508603,Universidad
Tecnología,Ingeniería Civil Mecánica,0.868,0.929,2841820,11.70,16.20,0.795,0.846,0.917,0.886,0.815,0.877,0.913,0.929,0.944,0.913,0,80.00000,933.00000,1018.00000,2469.00000,168,10,168,3,,,,,,,,,,,2521612.000,2657394.000,2819532.000,2800144.000,2916533.000,956,146,583,810,3969,4552,0,0,0,0,0,0,0,768,68,700,782910,1225843,1074861,1784576,1444372,2512975,1875180,3493254,2770496,6390294,1672484,3141787,2159900,0.760,0.611,2495391,Universidad
Tecnología,Ingeniería Civil Metalúrgica,0.805,0.916,3508658,11.50,17.10,0.697,0.778,0.801,0.825,0.789,0.856,0.838,0.937,0.894,0.918,0,25.00000,466.00000,190.00000,1018.00000,169,10,169,3,,,,,,,,,,,3500739.000,3142017.000,3273343.000,3402993.000,3847607.000,465,169,533,296,1176,1709,0,0,0,0,0,0,0,219,59,160,724266,1085342,977323,1723186,1336646,2803434,1989132,4576968,2853205,7882793,1808252,3724054,2626060,0.735,0.559,3011095,Universidad
Tecnología,Ingeniería Civil Química,0.818,0.909,2481356,11.70,15.60,0.686,0.763,0.894,0.803,0.792,0.812,0.902,0.909,0.925,0.901,0,26.00000,582.00000,628.00000,1634.00000,170,10,170,3,,,,,,,,,,,2402212.000,2580674.000,2395807.000,2715406.000,2330576.000,596,295,1280,301,1613,2893,0,0,0,0,0,0,0,390,177,213,671986,1202718,927469,1706923,1318280,2442337,1752394,3401392,2527592,5816633,1535618,2897831,1945087,0.805,0.671,2278799,Universidad
Tecnología,"Ingeniería Civil, plan común y licenciatura en Ciencias de la Ingeniería",0.861,0.912,2260842,11.50,15.60,0.780,0.824,0.912,0.862,0.809,0.907,0.920,0.907,0.932,0.898,0,231.00000,3171.00000,8489.00000,6754.00000,171,10,171,3,,,,,,,,,,,2071173.000,2283522.000,2395606.000,2202625.000,2204709.000,5216,1502,5409,3714,13412,18821,0,0,0,0,0,0,0,777,222,555,742660,1176349,999894,1663434,1340063,2235765,1680226,2895327,2015339,3672555,1492102,2522741,1766889,0.873,0.794,2035209,Universidad
Administración y Comercio,Ingeniería Comercial,0.820,0.877,2203057,10.00,12.30,0.730,0.805,0.846,0.822,0.793,0.826,0.861,0.894,0.875,0.865,0,952.00000,8594.00000,15031.00000,20655.00000,172,1,172,3,,,,,,,,,,,2242226.000,2262172.000,2265233.000,2165261.000,2175494.000,10003,4159,19708,5844,27399,47107,0,0,0,0,0,0,0,7786,3506,4280,690541,881696,919125,1337997,1317860,2008881,1851830,2901526,2635133,4049238,1608643,2382233,1813621,0.828,0.747,2004607,Universidad
Tecnología,Ingeniería en Alimentos,0.740,0.809,1480333,10.50,14.60,0.696,0.776,0.792,0.757,0.692,0.731,0.842,0.864,0.823,0.753,0,13.00000,241.00000,62.00000,405.00000,173,10,173,3,,,,,,,,,,,1382710.000,1392909.000,1356821.000,1581578.000,1489462.000,133,81,474,52,266,740,0,0,0,0,0,0,0,107,69,38,589416,855832,734826,1193008,891077,1483282,1177809,2008490,1451578,2609173,1154875,1540421,1335982,0.717,0.591,1472293,Universidad
Tecnología,"Ingeniería en Automatización, Instrumentación y Control",0.898,0.926,2237428,8.00,13.20,0.851,0.871,0.923,0.868,0.894,0.909,0.899,0.923,0.934,0.917,0,90.00000,194.00000,64.00000,513.00000,174,10,174,3,,,,,,,,,,,2072649.000,2077073.000,2113158.000,2291104.000,2330826.000,118,18,88,100,834,922,0,0,0,0,0,0,0,217,12,205,733735,1036536,962409,1429045,1292802,2019730,1800815,2883976,2589740,4557175,1559996,2337979,1750345,0.833,0.746,1977632,Universidad
Tecnología,Ingeniería en Biotecnología y Bioingeniería,0.629,0.680,1336460,9.90,13.50,0.536,0.560,0.734,0.650,0.556,0.690,0.736,0.660,0.706,0.676,0,24.00000,565.00000,372.00000,1260.00000,175,10,175,3,,,,,,,,,,,1498083.000,1546795.000,1217886.000,1418492.000,1380331.000,465,279,1220,186,1029,2249,0,0,0,0,0,0,0,331,179,152,557921,801436,662754,966501,838715,1247506,1076935,1869081,1324728,2345018,932699,1484242,1083750,0.833,0.755,1227459,Universidad
Administración y Comercio,Ingeniería en Comercio Exterior,0.808,0.849,1632797,9.90,13.20,0.782,0.676,0.819,0.867,0.753,0.813,0.911,0.868,0.849,0.830,0,55.00000,292.00000,147.00000,834.00000,176,1,176,3,,,,,,,,,,,2090810.000,2247163.000,1528366.000,1787646.000,1602796.000,451,294,901,157,466,1367,0,0,0,0,0,0,0,257,156,101,675991,707108,824110,1013436,1151279,1515913,1510171,2236036,2048648,3266293,1336513,2016372,1416437,0.797,0.699,1552490,Universidad
Tecnología,Ingeniería en Computación e Informática,0.829,0.890,2151897,8.40,12.30,0.821,0.844,0.860,0.826,0.794,0.862,0.888,0.918,0.897,0.856,0,302.00000,2040.00000,683.00000,4358.00000,177,10,177,3,,,,,,,,,,,1986864.000,2127467.000,2138501.000,2173599.000,2147332.000,1692,241,1077,1451,6811,7889,0,0,0,0,0,0,0,1201,123,1078,651375,957954,845841,1349826,1177109,2022362,1897278,2865709,3106402,3902253,1574563,2308594,1757168,0.791,0.686,1992790,Universidad
Tecnología,Ingeniería en Construcción,0.774,0.826,1652961,9.80,14.10,0.683,0.826,0.796,0.754,0.766,0.771,0.856,0.859,0.813,0.815,0,175.00000,1291.00000,225.00000,2653.00000,178,10,178,3,,,,,,,,,,,1749083.000,1821840.000,1701473.000,1595246.000,1652665.000,769,143,930,626,3657,4587,0,0,0,0,0,0,0,1304,271,1033,625311,780111,777451,1087899,1046881,1547860,1449926,2070655,2161800,2650798,1253853,1772525,1400193,0.771,0.636,1505327,Universidad
Administración y Comercio,Ingeniería en Control de Gestión,0.873,0.906,2063777,9.90,11.90,0.867,0.863,0.896,0.882,0.846,0.897,0.910,0.904,0.924,0.888,0,136.00000,1097.00000,400.00000,2399.00000,179,1,179,3,,,,,,,,,,,2204758.000,2251039.000,2248637.000,2009428.000,1929792.000,998,497,2144,501,2071,4215,0,0,0,0,0,0,0,661,367,294,713944,1025982,956449,1402251,1325890,1921256,1796032,2730353,2469239,3426254,1524646,2330321,1686783,0.831,0.736,1850387,Universidad
Tecnología,Ingeniería en Electricidad,0.871,0.905,2107170,8.50,14.00,0.786,0.892,0.879,0.867,0.866,0.870,0.891,0.919,0.905,0.896,0,134.00000,426.00000,72.00000,734.00000,180,10,180,3,,,,,,,,,,,2131213.000,2265763.000,2269167.000,1941205.000,2068426.000,297,24,108,273,1365,1473,0,0,0,0,0,0,0,433,15,418,814527,939724,1091104,1285281,1662954,1882080,2534383,2699278,4043754,3803652,1872528,2334833,1879400,0.615,0.519,1913461,Universidad
Tecnología,Ingeniería en Electrónica,0.822,0.872,1852042,8.80,14.80,0.766,0.875,0.850,0.833,0.767,0.779,0.865,0.933,0.814,0.885,0,17.00000,67.00000,19.00000,143.00000,181,10,181,3,,,,,,,,,,,1811755.000,1702309.000,1553845.000,2231292.000,1838331.000,81,11,22,70,228,250,0,0,0,0,0,0,0,63,8,55,594722,957047,883077,1230611,1190993,1923965,1795789,2450173,2268984,4231433,1317742,1924354,1477309,0.542,0.479,1755056,Universidad
Ciencias Básicas,Ingeniería en Geomensura y Cartografía,0.878,0.895,1999501,9.20,15.10,0.765,0.862,0.925,0.829,0.892,0.844,0.913,0.906,0.875,0.897,0,15.00000,136.00000,8.00000,222.00000,182,4,182,3,,,,,,,,,,,1765853.000,1806416.000,2163076.000,2071683.000,1844329.000,55,8,87,47,358,445,0,0,0,0,0,0,0,142,33,109,637211,1057597,835951,1418509,1137470,1899409,1733239,2156596,2584637,2728893,1329831,2033677,1503056,0.737,0.658,1748672,Universidad
Ciencias Sociales,Ingeniería en Gestión Pública,0.921,0.977,1947845,8.00,10.90,0.907,0.962,0.926,0.891,0.937,0.947,0.977,0.981,0.970,0.982,0,3.00000,10.00000,0.00000,26.00000,183,5,183,3,,,,,,,,,,,1992452.000,2128247.000,1923563.000,1787600.000,2127232.000,0,0,41,0,21,62,0,0,0,0,0,0,0,92,69,23,853939,854200,1048191,1405739,1354947,1725198,1704760,1976302,2285534,2724129,1580688,1976000,1816187,,0.647,1829769,Universidad
Administración y Comercio,Ingeniería en Logística,0.960,0.945,1941738,,,0.873,0.923,0.948,0.953,0.969,0.922,0.957,0.973,0.927,0.938,0,42.00000,206.00000,27.00000,337.00000,184,1,184,3,,,,,,,,,,,1950360.000,2402791.000,1963492.000,2057474.000,1804672.000,0,0,322,0,455,777,0,0,0,0,0,0,0,343,122,221,1066174,939644,1514425,1359286,2052500,1762115,2978069,2180599,3593386,2959427,2067424,2107014,1891427,,0.364,2013884,Universidad
Ciencias Básicas,Ingeniería en Matemática y Estadística,0.897,0.929,2397935,10.50,13.40,,,,,,,,,,,0,11.00000,210.00000,60.00000,555.00000,185,4,185,3,,,,,,,,,,,,,,,,200,63,300,137,565,865,0,0,0,0,0,0,0,81,25,56,1175398,936869,1336635,1857432,1570390,2358116,1818159,2833828,2206834,3276633,1593843,2489711,1855719,0.674,0.525,2219664,Universidad
Tecnología,Ingeniería en Metalurgia,0.750,0.890,2111699,8.10,14.50,0.702,0.634,0.571,0.871,0.793,0.700,0.846,0.975,0.808,0.853,0,7.00000,112.00000,17.00000,113.00000,187,10,187,3,,,,,,,,,,,2082802.000,1950894.000,2000269.000,2136662.000,2173044.000,66,19,72,47,185,257,0,0,0,0,0,0,0,33,12,21,675052,795332,905755,1116928,1157542,1905980,1491435,3031102,1610139,4506896,1233086,2422238,1359529,0.583,0.438,1685143,Universidad
Tecnología,Ingeniería en Minas,0.836,0.850,2514687,8.30,12.90,0.720,0.755,0.830,0.829,0.846,0.764,0.848,0.898,0.835,0.840,0,27.00000,404.00000,44.00000,469.00000,188,10,188,3,,,,,,,,,,,2393057.000,2424318.000,2539656.000,2478085.000,2550415.000,166,45,280,121,772,1052,0,0,0,0,0,0,0,298,69,229,698797,1076955,1091449,1394910,1659982,2270126,2842181,3298422,5015261,6094274,2192731,2707171,2431114,0.669,0.522,2295453,Universidad
Tecnología,Ingeniería en Prevención de Riesgos,0.865,0.884,1812703,8.60,13.70,0.741,0.832,0.848,0.870,0.885,0.816,0.853,0.890,0.869,0.893,0,41.00000,447.00000,24.00000,534.00000,189,10,189,3,,,,,,,,,,,1773712.000,1802199.000,1824426.000,1776520.000,1839312.000,91,49,792,42,498,1290,0,0,0,0,0,0,0,379,176,203,893271,803084,1185843,1153702,1534688,1626070,2171948,2299544,3101526,2960401,1656502,1911700,1656424,0.714,0.584,1717076,Universidad
Tecnología,Ingeniería en Química,0.835,0.913,1696512,8.90,13.50,0.549,0.778,0.806,0.846,0.845,0.846,0.714,0.947,0.851,0.943,0,14.00000,136.00000,31.00000,231.00000,190,10,190,3,,,,,,,,,,,1377427.000,1329806.000,1767704.000,1590606.000,1718103.000,65,30,179,35,248,427,0,0,0,0,0,0,0,100,55,45,617794,975044,845453,1262487,1134747,1517667,1487250,2110632,1860092,2521335,1233460,1698216,1370645,0.653,0.510,1526045,Universidad
Administración y Comercio,Ingeniería en Recursos Humanos,0.694,0.734,1423498,,,,,,,,,,,,,0,10.00000,22.00000,3.00000,78.00000,191,1,191,3,,,,,,,,,,,,,,,,27,13,110,14,52,162,0,0,0,0,0,0,0,24,13,11,518860,715636,774605,911807,955001,1293236,1096329,2093048,1140622,2969066,845837,1549504,952704,0.778,0.630,1211935,Universidad
Tecnología,Ingeniería en Recursos Renovables,0.684,0.779,1552870,10.00,14.30,0.654,0.657,0.767,0.676,0.628,0.565,0.862,0.778,0.786,0.774,0,28.00000,467.00000,304.00000,846.00000,192,10,192,3,,,,,,,,,,,1582552.000,1446456.000,1613048.000,1525452.000,1542047.000,321,172,903,149,763,1666,0,0,0,0,0,0,0,229,127,102,633134,692938,812800,1079092,980878,1486445,1426325,2124384,1883390,2795957,1158243,1739074,1294794,0.852,0.762,1383957,Universidad
Agropecuaria,Ingeniería Forestal,0.846,0.886,1642012,10.00,13.60,0.632,0.827,0.815,0.876,0.844,0.812,0.789,0.980,0.863,0.856,0,13.00000,194.00000,60.00000,295.00000,193,2,193,3,,,,,,,,,,,,,,,,119,47,263,72,305,568,0,0,0,0,0,0,0,123,61,62,732413,937560,928309,1060957,1117590,1453461,1456361,2007916,1671892,2364178,1216331,1826235,1338310,0.795,0.638,1552209,Universidad
Tecnología,Ingeniería Industrial,0.881,0.895,2471355,8.40,12.70,0.801,0.865,0.875,0.886,0.882,0.882,0.892,0.894,0.888,0.902,0,550.00000,2025.00000,277.00000,3290.00000,194,10,194,3,,,,,,,,,,,2452536.000,2488111.000,2662867.000,2423932.000,2310627.000,689,227,1809,462,5693,7502,0,0,0,0,0,0,0,1855,451,1404,805427,902914,1138179,1345678,1756869,1955378,2745749,3077194,4855582,4686248,2171851,2654834,2173367,0.677,0.553,2175607,Universidad
Tecnología,Ingeniería Marina y Marítimo Portuaria,0.789,0.904,2473744,8.00,12.40,,,,,,,,,,,0,8.00000,113.00000,62.00000,387.00000,195,10,195,3,,,,,,,,,,,2352094.000,2545183.000,2346852.000,2492815.000,2652275.000,157,42,104,115,479,583,0,0,0,0,0,0,0,79,16,63,635891,1080585,810162,1844647,1101453,2682979,1944572,3178453,3167528,4586226,1730390,2676463,2195523,0.839,0.730,2388674,Universidad
Tecnología,Ingeniería Mecánica,0.820,0.864,2064800,8.60,15.00,0.709,0.807,0.835,0.836,0.788,0.750,0.860,0.894,0.820,0.883,0,38.00000,193.00000,86.00000,509.00000,196,10,196,3,,,,,,,,,,,2008811.000,2144701.000,2019303.000,2192257.000,1945905.000,221,29,64,192,790,854,0,0,0,0,0,0,0,273,15,258,685105,904851,968018,1315071,1243889,1850190,1780310,2708294,2686380,3985054,1467189,2303625,1567748,0.590,0.422,1810037,Universidad
Salud,Kinesiología,0.525,0.685,1406891,10.00,12.20,0.568,0.841,0.660,0.497,0.403,0.641,0.886,0.814,0.704,0.644,0,474.00000,6652.00000,2619.00000,13892.00000,197,9,197,3,,,,,,,,,,,1347391.000,1604853.000,1451554.000,1365879.000,1345678.000,5625,2483,11191,3142,12747,23938,0,0,0,0,0,0,0,2714,1463,1251,550898,697952,626962,971877,779360,1396784,1035940,1803655,1337845,2235430,983275,1466798,1143546,0.845,0.787,1321490,Universidad
Humanidades,Licenciatura en Letras y Literatura,0.348,0.588,1152080,8.20,10.20,0.316,0.328,0.348,0.395,0.302,0.567,0.594,0.590,0.604,0.571,0,22.00000,506.00000,448.00000,1101.00000,198,8,198,3,,,,,,,,,,,1224522.000,1152873.000,1167464.000,1090146.000,1206675.000,496,352,1549,144,588,2137,0,0,0,0,0,0,0,352,248,104,549513,692968,579871,897496,786662,1174799,987041,1419531,1196294,1773583,803832,1209841,951381,0.844,0.773,1029564,Universidad
Salud,Medicina,0.909,0.893,3719393,13.90,15.10,0.901,0.963,0.920,0.914,0.892,0.898,0.909,0.790,0.900,0.904,0,36.00000,2990.00000,9695.00000,8291.00000,199,9,199,3,,,,,,,,,,,4005075.000,4067057.000,3793568.000,3741306.000,3295856.000,3209,1926,12594,1283,8635,21230,0,0,0,0,0,0,0,2430,1331,1099,1054500,2126548,1760285,3093510,2478340,4121741,3157064,5347170,3880990,6701042,2758297,4280720,3264129,0.955,0.937,3363001,Universidad
Agropecuaria,Medicina Veterinaria,0.659,0.739,1379385,10.10,14.40,0.603,0.722,0.731,0.685,0.589,0.677,0.779,0.735,0.733,0.746,0,504.00000,5510.00000,2646.00000,12244.00000,200,2,200,3,,,,,,,,,,,1418696.000,1405417.000,1400460.000,1383460.000,1342248.000,4441,3299,16030,1142,5341,21371,0,0,0,0,0,0,0,1485,1098,387,562193,729570,670246,932050,892275,1271317,1196232,1755479,1560141,2393437,1035456,1469493,1158545,0.859,0.794,1251232,Universidad
Arte y Arquitectura,"Música, Canto o Danza",0.450,0.537,1116140,10.00,12.80,0.448,0.438,0.462,0.479,0.416,0.493,0.540,0.588,0.492,0.560,0,92.00000,899.00000,432.00000,1543.00000,201,3,201,3,,,,,,,,,,,1161643.000,1129554.000,1089690.000,1190126.000,1021666.000,654,299,1350,355,1727,3078,0,0,0,0,0,0,0,407,193,214,575264,664874,674194,869686,832615,1186362,1057653,1541097,1288576,2293770,917052,1209958,1004635,0.795,0.688,1098531,Universidad
Salud,Nutrición y Dietética,0.459,0.624,1176047,10.00,12.60,0.358,0.581,0.537,0.420,0.404,0.536,0.666,0.700,0.631,0.593,0,242.00000,4024.00000,1176.00000,7872.00000,202,9,202,3,,,,,,,,,,,1149053.000,1251218.000,1181091.000,1179677.000,1153884.000,2894,2168,10600,726,2928,13528,0,0,0,0,0,0,0,1798,1532,266,553659,641182,614703,826814,782180,1166752,1009136,1572938,1246087,1972366,867391,1252894,996905,0.795,0.720,1090500,Universidad
Salud,Obstetricia y Puericultura,0.694,0.862,1672113,10.00,12.30,0.865,0.943,0.885,0.745,0.547,0.966,0.970,0.925,0.893,0.820,0,142.00000,3478.00000,1346.00000,8068.00000,203,9,203,3,,,,,,,,,,,1835079.000,1860533.000,1720967.000,1658777.000,1591555.000,2700,2631,12689,69,430,13119,0,0,0,0,0,0,0,2072,1975,97,585341,1052381,710492,1393102,991003,1715193,1314091,2063205,1612264,2409629,1164784,1784176,1392568,0.906,0.857,1559825,Universidad
Salud,Odontología,0.627,0.741,1848602,11.90,15.10,0.487,0.841,0.758,0.581,0.490,0.699,0.872,0.820,0.764,0.699,0,103.00000,2845.00000,3496.00000,8214.00000,204,9,204,3,,,,,,,,,,,1871513.000,2341886.000,1952250.000,1729932.000,1884264.000,2691,1876,10250,815,4561,14811,0,0,0,0,0,0,0,1781,1226,555,582648,706178,708821,1017374,1009134,1582600,1504455,2342750,2179489,3091391,1311241,1998135,1517376,0.882,0.841,1689035,Universidad
Educación,Pedagogía en Artes y Música,0.751,0.815,1093630,9.70,11.90,0.656,0.583,0.788,0.761,0.715,0.808,0.770,0.846,0.797,0.812,0,35.00000,864.00000,132.00000,1310.00000,205,7,205,3,,,,,,,,,,,1098863.000,1110989.000,1108757.000,1074655.000,1100635.000,552,269,1164,283,1225,2389,0,0,0,0,0,0,0,366,186,180,584854,681280,705687,927680,901062,1123112,1091262,1299366,1230318,1456875,895086,1132305,1014974,0.822,0.741,1042977,Universidad
Educación,Pedagogía en Educación Básica,0.908,0.915,1193292,9.50,10.60,0.835,0.904,0.919,0.902,0.903,0.919,0.928,0.906,0.915,0.922,0,212.00000,2700.00000,664.00000,3890.00000,207,7,207,3,,,,,,,,,,,1213168.000,1225736.000,1179151.000,1183734.000,1221517.000,1831,1539,6367,292,1301,7668,0,0,0,0,0,0,0,1521,1338,183,681040,865573,827517,1044253,979212,1221325,1154534,1369912,1338090,1587561,1012768,1238656,1129038,0.889,0.834,1175781,Universidad
Educación,Pedagogía en Educación de Párvulos,0.714,0.804,1058550,8.90,10.20,0.597,0.695,0.768,0.689,0.659,0.682,0.755,0.824,0.817,0.749,0,514.00000,4421.00000,647.00000,5974.00000,208,7,208,3,,,,,,,,,,,1147162.000,1143723.000,1055543.000,1061233.000,1058559.000,2014,2005,12058,9,43,12101,0,0,0,0,0,0,0,1434,1432,2,570256,692339,662409,881546,805575,1123662,990352,1322129,1197087,1468145,868042,1123067,950848,0.887,0.829,1007648,Universidad
Educación,Pedagogía en Educación Diferencial,0.912,0.925,1231830,9.50,10.40,0.888,0.863,0.907,0.918,0.914,0.918,0.927,0.927,0.922,0.928,0,349.00000,3564.00000,251.00000,5660.00000,209,7,209,3,,,,,,,,,,,1315980.000,1290027.000,1232917.000,1234682.000,1225425.000,2005,1880,9661,125,552,10213,0,0,0,0,0,0,0,1929,1834,95,734134,922700,866054,1114237,1015922,1253616,1176954,1421165,1357147,1635321,1025194,1280449,1126646,0.895,0.841,1178295,Universidad
Educación,Pedagogía en Educación Física,0.566,0.670,1093220,9.50,11.10,0.327,0.410,0.577,0.575,0.545,0.491,0.556,0.675,0.671,0.664,0,141.00000,2682.00000,567.00000,4314.00000,210,7,210,3,,,,,,,,,,,1080591.000,1090039.000,1061538.000,1101296.000,1121504.000,1918,559,2289,1359,5478,7767,0,0,0,0,0,0,0,1305,423,882,556800,651994,651149,852646,833511,1124960,1062401,1371241,1294152,1738191,873690,1155398,971963,0.871,0.807,1023211,Universidad
Educación,Pedagogía en Educación Media,0.807,0.841,1307876,,,0.820,0.758,0.820,0.830,0.767,0.869,0.932,0.829,0.835,0.857,0,14.00000,185.00000,74.00000,273.00000,211,7,211,3,,,,,,,,,,,1305177.000,1253338.000,1385796.000,1279502.000,1273508.000,0,0,336,0,270,606,0,0,0,0,0,0,0,246,134,112,643281,742695,747224,1092848,943473,1284646,1069692,1490565,1176106,1733848,948526,1352941,1139664,,,1226551,Universidad
Educación,Pedagogía en Educación Técnico Profesional,0.934,0.896,1623221,,,,,,,,,,,,,0,14.00000,46.00000,3.00000,66.00000,212,7,212,3,,,,,,,,,,,,,,,,72,38,96,34,96,192,0,0,0,0,0,0,0,102,52,50,843185,813749,1133958,1333053,1479529,1611469,1795656,2038567,2141369,2509774,1556792,1769531,1670784,,,1651214,Universidad
Educación,Pedagogía en Filosofía y Religión,0.789,0.830,1256069,9.90,13.20,0.806,0.704,0.842,0.731,0.771,0.852,0.909,0.893,0.828,0.769,0,10.00000,163.00000,46.00000,271.00000,213,7,213,3,,,,,,,,,,,,,,,,115,58,224,57,312,536,0,0,0,0,0,0,0,97,48,49,594467,994327,830099,1073507,1185092,1217395,1556867,1449777,1874263,1608755,1566876,1238268,1657754,0.750,0.685,1227387,Universidad
